Problem # from webwork pdf (yellow is multi part),global usage,attempts,status,comp/calc (Ellis et al.),grph/ geom int,context appl,proof rsng jstfctn,secondary rsng jstifctn,"defining prop/critical features (CF), vector operations (VO), both (B)",Connection codes (conceptual connections),# of codes used for prob,Single codes only (can be greater than 1),V,X,D,VM,A,B,VA,S,Mult or conn codes (coded 0 for none and 1 for presence),Involving VM,Involving S,Involving D,Involving A,Involving VA,Involving VD,Involving VS,Involving X,Involving B,Involving P,Involving O,"By PROB (very low =1, low proc = 2, very high =3)",Very Low memorization,Low procs no conctns,High procs w/ conctns,Very High doing math,"By PROB (2D = 2, 3D = 3)",vectors         in 2D,vectors           in 3D,vectors           in >3D,PROB  # of vector reps,PROB posed w/ graphed vectors g,PROB posed w/ basis vectors b,PROB posed w/ column vectors c,PROB posed w/ ordered n-tuple n,PROB posed w/verbal descrip of vectors (might include quants) v,PROB posed w/ pts (endpts) as implicit descrptn of vector e,By PROB answer is: (rep'l conn),By PROB answer is: (rep'l conn),answer contains vector,answer contains angle,answer contains other,answer contains scalar,answer conains vector and scalar,PROB answered w/ basis vectors B,PROB answered w/ column vectors C,PROB answered w/ ordered n-tuple N,PROB answered w/verbal descrip of vectors (might include quants) W,NOTES:
Totals,,,,43,23,10,0,2,,,25,42,18,5,5,5,2,2,0,1,51,28,26,19,18,15,14,11,7,5,3,2,,1,51,19,5,,30,44,2,,6,21,7,18,19,23,,,45,7,9,26,,14,4,26,1,
1,3,4.33,100,1,,,,,CF,V,1,1,1,,,,,,,,,,,,,,,,,,,,2,,1,,,2,1,,,1,,,,,,1,vector,vector,1,0,0,0,,,,1,,find vector given points on directed segment
2,79,2.48,89,1,,,,,B,X-VM,2,,,,,,,,,,1,1,,,,,,,1,,,,3,,,1,,3,,1,,1,,,,,,1,scalar,scalar,0,0,0,1,,,,,,find area of parallelogram given points
4,954,1.88,90,1,,,,,VO,D,1,1,,,1,,,,,,,,,,,,,,,,,,2,,1,,,2,1,,,1,,,,,geom,,scalar,scalar,0,0,0,1,,,,,,find dot product
5,510,3.48,82,1,,,,,CF,VS (unit) -VD,2,,,,,,,,,,1,,,,,,1,1,,,,,2,,1,,,2,1,,,1,,1,,,,,vector,vector,1,0,0,0,,,,1,,find unit vector in same direction (rated as low since formula typically given to students by instructor)
6,484,1.90,100,1,,,,,B,X-VM,2,,,,,,,,,,1,1,,,,,,,1,,,,3,,,1,,2,1,,,1,,,,,,1,scalar,scalar,0,0,0,1,,,,,,find area of parallelogram given points
8,1623,1.99,99,1,,,,,B,"D-VA, D-VM",3,,,,,,,,,,1,1,,1,,1,,,,,,,2,,1,,,3,,1,,1,,1,,,,,angle,angle,0,1,0,0,,,,,,find angle between vectors
9,528,3.34,97,1,,,,,VO,X,1,1,,1,,,,,,,,,,,,,,,,,,,2,,1,,,3,,1,,1,,1,,,,,vector,vector,1,0,0,0,,,,1,,find the cross product
10,9377,2.25,97,1,,,,,CF,"VD, VM",2,2,,,,,,,,,1,1,,,,,1,,,,,,2,,1,,,3,,1,,1,,,,1,,,vector,vector,1,0,0,0,,,,1,,find vector in same direction but different length
11,444,5.64,86,,1,,,,,"D-VA, D-VM",3,,,,,,,,,,1,1,,1,,1,,,,,,,3,,,1,,3,,1,,1,,,,,,1,angle,angle,0,1,0,0,,,,,,find area of triangle given points
12,137,2.89,98,1,,,,,,"VM, A, B, A-S",4,3,,,,1,1,1,,,1,1,1,,1,,,,,,,,2,,1,,,3,,1,,1,,1,,,,,scalar+vector,scalar+vector,1,0,0,1,1,,,1,,find magnitude of vector
13,324,2.12,94,1,,,,,,X-D,2,,,,,,,,,,1,,,1,,,,,1,,,,2,,1,,,3,,1,,1,,,,1,,,scalar,scalar,0,0,0,1,,,,,,volume of parallelpiped determined by vectors (rated as low since formula typically given to students by instructor)
14,8126,2.08,96,,1,,,,,D-O,2,,,,,,,,,,1,,,1,,,,,,,,1,3,,,1,,3,,1,,1,,,,1,,,scalar,scalar,0,0,0,1,,,,,,what values make vectors orthogonal
15,812,3.49,95,1,,,,,,"D-VM, P-D, P-S",4,,,,,,,,,,1,1,1,1,,,,,,,1,,2,,1,,,3,,1,,1,,,,1,,,scalar+vector,scalar+vector,1,0,0,1,1,,,1,,scalar projection
16,782,3.83,99,,1,,,,,"X-O, X-VM",3,,,,,,,,,,1,1,,,,,,,1,,,1,3,,,1,,3,,1,,1,,,,,,1,scalar+vector,scalar+vector,1,0,0,1,1,,,1,,orthogonal vector to triangle (given three points)
17,1315,2.33,99,1,,,,,,D,1,1,,,1,,,,,,,,,,,,,,,,,,2,,1,,,3,,1,,1,,1,,,,,scalar,scalar,0,0,0,1,,,,,,find dot product
18,767,5.04,95,,1,,,,,"A-S, B, B-S",3,1,,,,,,1,,,1,,1,,1,,,,,1,,,3,,1,,,3,,1,,2,1,,,1,,,vector,vector,1,0,0,0,,,,1,,vector addition with scalar multiplication
19,9767,3.05,91,,1,,,,,D-VA,2,,,,,,,,,,1,,,1,,1,,,,,,,3,,,1,,2,1,,,1,1,,,,,,other (word),words,0,0,1,0,,,,,,"dot product (positive, negative or zero)"
21,85,4.71,91,,,1,,,,"V, S, A-S",3,1,1,,,,,,,,1,,1,,1,,,,,,,,3,,1,,,3,,1,,2,,,1,,words,,scalar+vector,scalar+vector,1,0,0,1,1,,1,,,verbal problem intrepreting info in matrix
22,127,1.48,100,1,,,,,,B-S,2,,,,,,,,,,1,,1,,,,,,,1,,,2,,1,,,3,,1,,1,,,1,,,,vector,vector,1,0,0,0,,,1,,,vector subtraction and scalar multiplication
23,69,2.70,98,,,1,,,,"V, S, A-S",3,2,1,,,,,,,,1,,1,,1,,,,,,,,3,,1,,,2,1,,,2,,,1,,words,,scalar+vector,scalar+vector,1,0,0,1,1,,1,,,verbal problem interpreting vector addition and scalar multiplication
24,172,1.98,99,1,,,,,,A-S,2,,,,,,,,,,1,,1,,1,,,,,,,,2,,1,,,2,1,,,1,,,1,,,,scalar,scalar,0,0,0,1,,,,,,solve vector equation involving adding and scalar multiplication
25,140,1.59,100,1,,,,,,"A-S, B-S",3,,,,,,,,,,1,,1,,1,,,,,1,,,2,,1,,,3,,1,,1,,,1,,,,vector,vector,1,0,0,0,,,1,,,"compute using vector addition, subtraction, and scalar multiplication"
26,446,3.52,97,1,,,,,,"A-S, B-S",3,,,,,,,,,,1,,1,,1,,,,,1,,,2,,1,,,3,,1,,1,,1,,,,,vector,vector,1,0,0,0,,1,,,,"compute using vector addition, subtraction, and scalar multiplication"
27,76,2.28,99,,1,,,,,"VS-VM, A-VM",3,,,,,,,,,,1,1,,,1,,,1,,,,,3,,,1,,2,1,,,2,,1,,,geom,,vector,vector,1,0,0,0,,1,,,,solve for vector component given magnitude
29,542,2.66,85,,,1,,,,"VS-D, S-VM, S-VD, A-VS",6,,,,,,,,,,1,1,1,1,1,,1,1,,,,,4,,,,1,2,1,,,1,,,,,phys,,vector,vector,1,0,0,0,,1,,,,vehicles traveling on perpendicular roads
30,860,5.81,85,,1,,,,,S-VD,2,,,,,,,,,,1,,1,,,,1,,,,,,3,,,1,,2,1,,,1,,1,,,,,scalar,scalar,0,0,0,1,,,,,,solving for parallel vectors
32,455,4.24,92,,1,,,,,"VD-VM, VS-VM, A-VS",4,,,,,,,,,,1,1,,,1,,1,1,,,,,3,,,1,,3,1,,,1,,,,,geom,,vector,vector,1,0,0,0,,1,,,,compute vector given length and angle
33,452,1.67,100,1,,,,,,VM,1,1,,,,1,,,,,,,,,,,,,,,,,2,,1,,,3,,1,,1,,1,,,,,vector,vector,1,0,0,0,,1,,,,compute length of vectors
34,236,6.61,75,,,1,,,,"A-VM, VA",3,1,,,,,,,,,1,1,,,1,1,,,,,,,4,,,,1,2,1,,,1,,,,,phys,,angle+vector,angle+vector,1,1,0,0,,,,,1,classic rowing across river problem
35,18,5.50,72,,,1,,,,A-VM,2,,,,,,,,,,1,1,,,1,,,,,,,,4,,,,1,3,,1,,1,,,,,phys,,scalar,scalar,0,0,0,1,,,,,,classic airspeed to groundspeed problem
36,637,1.71,97,,,1,,,,"A-VS, VM",3,1,,,,,,,,,1,1,,,1,,,1,,,,,3,,,1,,2,1,,,2,,1,,,phys,,scalar,scalar,0,0,0,1,,,,,,"comparing magnitude of vectors in i, j, k (connecting velocity to magnitude)"
38,1,3.00,100,,1,,,,,"VS-VD, VS-VM, S-VS",4,,,,,,,,,,1,1,1,,,,1,1,,,,,3,,,1,,3,,1,,2,,,,,geom,1,vector,vector,1,0,0,0,,1,,,,find vector components using geom description
40,176,3.02,93,,1,,,,,"X-VM, X-VA, D-VA, VM",4,1,,,,,,,,,1,1,,1,,1,,,1,,,,4,,,,1,3,,1,,2,,1,,,geom,,angle,angle,0,1,0,0,,,,,,"combining magnitude of cross product and dot product to determine angles (i,j,k)"
